Origin,Dest,Airline,CarrierDelay,WeatherDelay,NASDelay,SecurityDelay,LateAircraftDelay,TotalDelays
SLC,LAX,Delta Air Lines Inc.,2660,132,1850,0,1786,6428
SLC,LAX,Skywest Airlines Inc.,4071,1133,625,80,1620,7529
SLC,LAX,Southwest Airlines Co.,1109,294,972,0,4571,6946
SLC,LGA,Delta Air Lines Inc.,61,0,52,0,15,128
SLC,LGB,JetBlue Airways,344,0,337,0,1293,1974
SLC,LGB,Skywest Airlines Inc.,1800,895,34,42,1149,3920
SLC,LIT,Skywest Airlines Inc.,83,215,36,0,0,334
SLC,LWS,Skywest Airlines Inc.,556,115,121,0,177,969
SLC,MCI,Skywest Airlines Inc.,1034,267,26,0,384,1711
SLC,MCO,Delta Air Lines Inc.,721,13,198,0,728,1660
SLC,MDW,Southwest Airlines Co.,593,80,1017,0,1248,2938
